Deep Down, Alok + Ella Eyre
Light Switch, Charlie Puth
Ghost, Justin Bieber
THATS WHAT I WANT, Lil Nas X
All These Nights, Tom Grennan
High, The Chainsmokers
Sunroof, Nickey Youre + dazy
I Ain't Worried, OneRepublic
Words, Alesso + Zara Larsson
2 Be Loved, Lizzo
Acapulco, Jason Derulo
Melody, Sigala
Heartbreak Anthem, Galantis + David Guetta
Numb, Marshmello
Sunshine, OneRepublic
Where Are You Now, Lost frequencies + Calum Scott
Bad Habits, Ed Sheeran
Cloudy, Tones And I
My Universe, Coldplay + BTS
Runaway With It, HRVY
Calm Down, Rema + Selena Gomez
One Foot in Front of the Other, Griff
EveryTime I Cry, Ava Max
Who's In Your Head, Jonas Brothers
Crazy What Love Can Do, David Guetta + Becky Hill
Follow Me, Sam Feldt + Rita Ora
Always Be There, Jonas Blue + Louisa Johnson
You for Me, Rita Ora + Sigala
Kiss My (Uh Oh), Anne-Marie + Little Mix
My Love, Florence+The Machine
You Were Loved, Gryffin + OneRepublic
Another Life, Surf Mesa + FLETCHER
You, Regard + Troye Sivan + Tate McRae
Celestial, Ed Sheeran
What Would You Do?, Joel Corry + David Guetta
24/7, Billen Ted + JC Stewart
DNA, Craig David + Galantis
Don't Go Yet, Camila Cabello
Take My Breath, The Weeknd
HISTORY, Joel Corry + Becky Hill
Run, Becky Hill + Galantis
I Just Called, NEIKED + Anne-Marie + Latto
Love Again, Dua Lipa
Call On, RAYE
Hot In It, Tiesto + Charli XCX
Psycho, Maisie Peters
20s, Bow Anderson
Good Luck, Mabel + Jax Jones + Galantis
Dancing Feet, Kygo + DNCE
Another Love, Tom Odell
Birthday Cake, Dylan Conrique
In The Stars, Benson Boone
that way, Tate McRae
All For You, Cian Ducrot
Atlantis, Seafret
go, Cat Burns
How Do I Say Goodbye, Dean Lewis
Innocence and Sadness, Dermot Kennedy
complex, Katie Gregson
Lights Are On, Tom Rosenthal
Easy On Me, Adele
I'm Not The Only One, Sam Smith
Goodbye, Mimi Webb
Hurts The Most, Bradley Marshall
Fingers Crossed, Lauren Spencer Smith
Lonely, Noah Cyrus
august, Taylor Swift
Sparks, Coldplay
Pray, Jessie Murph
Dandelions, Ruth B.
Visiting Hours, Ed Sheeran
we'll be fine, Luz
Peter Pan Was Right, Anson Seabra
Miserable Man, David Kushner
we're not kids anymore, Cat Burns
London Is Lonely, Holly Humberstone
Something to Someone, Dermot Kennedy
GHOST TOWN, Benson Boone
Love In The Dark, Adele
Matilda, Harry Styles
I Lost Myself In Loving You, Jamie Milelr
Remember, Becky Hill
Glimpse of Us, Joji
Talk, Moncrieff
X&Y (What I Didn't Say), Caity Baser
Flowers, Lauren Spencer Smith
Before You Go, Lewis Capaldi
Screaming At Traffic, Bea Stewart
